ID;exp_condition;MergeSELECT;age;CL;Sum_Orie_Dia_Post;Sum_Orie_Dia_Prä;Sum_Orie_IE_Post;Sum_Orie_IE_Prä;DiffGlob2task;AverageLokal;IE_FragSent_post;DIA_FragSent_post;IE_FragSent_pre;DIA_FragSent_pre;feedback_item_01;erf_lehre;fachsemester;feedback_item_00;feedback_item_02;feedback_item_03;feedback_item_04;feedback_item_05;gender;hochschulsemester;praktikum;studiengang;submission_erklaerung_pre;submission_erklaerung_post;submission_diagnostik_pre;submission_diagnostik_post;user;vorw_forschung;wiss_schreiben;CL_234;AverageGlobal;CL_234_1
HnRggo;2;1;27;1,75;1;,5;1,5;1;,5;,11013986013986;,0769230769230769;,0909090909090909;,181818181818182;,0909090909090909;1;1;9;1;3;2;2;"Es ist natürlich schön, ein visuelles Feedback zu bekommen. Vor allem so schnell. Das Problem ist allerdings, dass die Software anscheinend auch Begriffe heraus nimmt, die in der Erklärung primär gar nicht so wichtig waren. Desweiteren finde ich es unnötig unübersichtlich, dass die Software zum Beispiel aus ""der Lernende"" und ""dem Lernenden"" zwei Unterpunkte für ein und das selbe Konzept macht.";0;11;1;Staatsexamen;5/17/2015;5/17/2015;5/30/2015;5/30/2015;HnRggo;2;0;2;1;2
AYFSsc;1;1;28;2,25;1,5;1,5;1;1;0;,169642857142857;,0833333333333333;,214285714285714;,166666666666667;,214285714285714;2;2;14;1;3;3;1; ;0;15;1;Staatsexamen;5/18/2015;5/18/2015;6/2/2015;6/2/2015;AYFSsc;2;0;2;1,25;2
NCutyl;1;1;20;2,25;4;4;2;2;0;,196969696969697;,181818181818182;,166666666666667;,272727272727273;,166666666666667;2;0;3;2;3;2;4;Es wäre sinnvoll, die auf der rechten Seite gelisteten Wörter in dem Fließtext zu verlinken, da man so Brüche deutlich leichter identifizieren kann. Außerdem werden manche Wörter im Text mehrmals verwendet und es ist nicht eindeutig auf welches Wort die Software abzielt.;0;-2;0;Staatsexamen;5/13/2015;5/13/2015;5/20/2015;5/20/2015;NCutyl;0;0;2,75;3;2,75
NIDUvU;1;1;28;2;3;2;1;1;1;,2125;,266666666666667;,125;,333333333333333;,125;0;1;3;2;3;3;3; ;0;-15;0;Staatsexamen;5/18/2015;5/18/2015;6/2/2015;6/2/2015;NIDUvU;0;0;2,75;1,75;2,75
OwhbGG;2;1;20;1,75;1;1;2;1,5;0;,239583333333333;,166666666666667;,333333333333333;,125;,333333333333333;1;0;1;2;2;2;2; ;0;2;0;Staatsexamen;5/12/2015;5/12/2015;5/25/2015;5/25/2015;OwhbGG;1;0;2;1,375;2
FlgLnG;0;1;20;2,25;2;2;2,5;2,5;0;,301041666666667;,1875;,208333333333333;,6;,208333333333333;1;0;1;2;3;3;3;man kann kaum einen richtigen Zusammenhang zwischen Feedback und geschriebenem Text feststellen, wodurch das Feedback keine große Hilfestellung bei der Bearbeitung des Textes ist.;1;2;0;Staatsexamen;5/14/2015;5/17/2015;6/1/2015;6/1/2015;FlgLnG;1;0;2,75;2,25;2,75
hQunij;1;1;20;3;3,5;3,5;1,5;1,5;0;,173920625942685;,266666666666667;,0588235294117647;,307692307692308;,0625;2;2;1;2;4;4;4; ;1;4;0;Staatsexamen;5/12/2015;5/15/2015;5/19/2015;5/19/2015;hQunij;1;0;3,5;2,5;3,5
RDuihj;2;1;23;2,25;2;2;1;1;0;,166515837104072;,235294117647059;,1;,230769230769231;,1;1;0;2;2;3;3;4; ;0;3;0;Staatsexamen;5/19/2015;5/19/2015;6/1/2015;6/1/2015;RDuihj;0;0;3;1,5;3
SYyABc;2;1;20;1,5;3,5;3;2,5;2,5;,5;,109325396825397;,111111111111111;,0833333333333333;,142857142857143;,1;1;1;2;2;1;2;3;"Unklarheit darüber, ob ein ""echter"" Leser die angeblichen Brüche im Text ebenfalls so sehen würde, oder ob diese Brüche nur duch die Software identifiziert werden.";0;2;1;Staatsexamen;5/18/2015;5/18/2015;5/21/2015;5/21/2015;SYyABc;1;1;2;2,875;2
vpYnPK;1;1;21;2,25;2;2;,5;,5;0;,242997198879552;,285714285714286;,176470588235294;,333333333333333;,176470588235294;1;1;2;2;3;3;2;Die Tatsache, dass nur Stichwörter als Rückmeldung zur Verfügung standen, verkomplizierte die Überarbeitung meiner Meinung nach unnötig. Besser wäre eine konkrete-, statt einer vagen Rückmeldung.;0;2;0;Staatsexamen;5/12/2015;5/12/2015;5/22/2015;5/30/2015;vpYnPK;2;0;2,5;1,25;2,5
whLnIr;0;1;19;1,5;2;2;2,5;2,5;0;,127185314685315;,125;,0769230769230769;,125;,181818181818182;0;0;2;2;2;2;2; ;0;2;0;Staatsexamen;5/15/2015;5/15/2015;6/2/2015;6/2/2015;whLnIr;0;0;2;2,25;2
AEnkco;2;1;20;2,5;2,5;2,5;2;2;0;,292857142857143;,285714285714286;,3;,285714285714286;,3;0;2;2;2;4;4;3;Ich konnte mit dem Feedback wenig anfangen und nichts an meinem Text ändern, da ich nicht wusste, wie ich die verschiedenen Begriffsgruppen verbinden soll.;1;2;0;Staatsexamen;5/18/2015;5/18/2015;5/25/2015;5/25/2015;AEnkco;0;0;3,25;2,25;3,25
CEmACj;1;1;20;2;2,5;2,5;1;1,5;0;,354166666666667;,4;,3;,416666666666667;,3;0;0;2;2;3;3;2; ;1;2;0;Staatsexamen;5/17/2015;5/17/2015;5/20/2015;5/20/2015;CEmACj;1;1;2,5;1,875;2,5
dnCzmb;1;1;21;1,75;2;2;1;,5;0;,293998015873016;,277777777777778;,285714285714286;,3125;,3;0;1;2;2;3;2;3; ;1;2;0;Staatsexamen;5/13/2015;5/13/2015;5/20/2015;5/20/2015;dnCzmb;1;0;2,5;1,375;2,5
FwfgGr;0;1;21;2,5;1,5;1,5;2;2;0;,268308080808081;,25;,272727272727273;,277777777777778;,272727272727273;0;0;2;2;4;4;4; ;1;2;0;Staatsexamen;5/15/2015;5/15/2015;5/25/2015;5/25/2015;FwfgGr;2;0;3,5;1,75;3,5
ksdFMN;2;1;22;2;2;1,5;1;1;,5;,190613553113553;,307692307692308;,133333333333333;,25;,0714285714285714;0;0;2;2;3;3;2; ;1;3;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;ksdFMN;0;0;2,5;1,375;2,5
ltMCXm;1;1;21;1,75;2;2;,5;,5;0;,207905982905983;,1;,133333333333333;,444444444444444;,153846153846154;0;1;2;2;3;2;2;Schwer war es anhand der Liste den Zusammenhang zu erkennen. Hier hätte man noch kurze Überschriften wählen können, damit man weiß, was mit den einzelnen Listen gemeint war.;1;2;0;Staatsexamen;5/14/2015;5/18/2015;5/30/2015;6/1/2015;ltMCXm;0;0;2,25;1,25;2,25
PfnyyT;2;1;20;2;2,5;2,5;3;2;0;,248263888888889;,0555555555555556;,375;,1875;,375;0;1;2;2;3;3;3;Ich hatte den Eindruck, das automatische Feedback war nicht an die Voraussetzung angepasst, dass ich laut Aufgabenstellung einem -Erstsemester- etwas erklären sollte. Diese_r hat wohl ein besser ausgebildetes Kohärenzverstehen.;1;2;0;Staatsexamen;5/14/2015;5/14/2015;5/31/2015;5/31/2015;PfnyyT;1;0;2,75;2,5;2,75
rCjGSb;0;1;23;2;2,5;2,5;1,5;1;0;,241025641025641;,133333333333333;,266666666666667;,230769230769231;,333333333333333;1;2;2;2;2;3;3; ;1;2;0;Staatsexamen;5/12/2015;5/12/2015;5/26/2015;5/26/2015;rCjGSb;1;0;2,5;1,875;2,5
tEIqrw;0;1;19;1,75;1;1;2,5;2,5;0;,144444444444444;,166666666666667;,15;,111111111111111;,15;1;2;2;2;2;2;1; ;1;2;1;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;tEIqrw;2;0;1,75;1,75;1,75
YBLDbZ;2;1;29;1,25;1;1;2,5;2;0;,355699855699856;,111111111111111;,454545454545455;,285714285714286;,571428571428571;0;4;2;2;1;2;0;Die concept Map verdeutlicht sehr anschaulich, wo Brüche im Zusammenhang des ersten Entwurfs auftauchen.;1;13;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;YBLDbZ;3;1;1,25;1,625;1,25
YRqWoQ;0;1;20;2,5;1,5;1,5;1,5;,5;0;,427941176470588;,411764705882353;,4;,5;,4;2;0;2;2;3;3;2; ;1;2;0;Staatsexamen;5/14/2015;5/18/2015;6/2/2015;6/2/2015;YRqWoQ;2;0;2,5;1,25;2,5
yUFkmg;0;1;21;2;2;1,5;4;3,5;,5;,282186234817814;,157894736842105;,263157894736842;,307692307692308;,4;1;1;2;2;2;3;2; ;1;2;0;Staatsexamen;5/15/2015;5/15/2015;6/1/2015;6/1/2015;yUFkmg;1;0;2,25;2,75;2,25
YzHsfs;2;1;20;2,25;1,5;1,5;2;1,5;0;,165441176470588;,125;,176470588235294;,125;,235294117647059;1;0;2;2;3;3;3; ;1;2;0;Staatsexamen;5/17/2015;5/19/2015;5/28/2015;5/28/2015;YzHsfs;0;0;2,75;1,625;2,75
aPzaBM;0;1;25;2,25;1,5;1,5;2,5;1,5;0;,337893356643357;,272727272727273;,153846153846154;,625;,3;1;0;3;2;3;3;3; ;0;3;0;Staatsexamen;5/13/2015;5/14/2015;5/22/2015;5/22/2015;aPzaBM;1;0;2,75;1,75;2,75
XoXBnf;1;1;22;2,75;1,5;1,5;3;2,5;0;,246428571428571;,3;,142857142857143;,4;,142857142857143;1;0;3;2;4;4;4;Das Feedback ist nicht gut erklärt, man versteht nicht wirklich was man damit anfangen soll.;0;4;0;Staatsexamen;5/18/2015;5/18/2015;5/20/2015;5/20/2015;XoXBnf;1;0;3,5;2,125;3,5
TLnfSP;2;1;28;1,25;1,5;1,5;2,5;1,5;0;,179166666666667;,0666666666666667;,1;,4;,15;0;0;3;2;1;2;1;Es identifiziert teilweise Überleitungen als Brüche... die nicht zusammenhängenden Sätze konnte ich schnell finden, und auch leicht nachvollzieen, warum diese wenig in den Gesamtzusammenhang eingebunden waren.Aber das System gibt keine konkreten Anregungen, was ich daraufhin tun kann, deshalb bin ich unsicher, wie ich die Version verbessern kann. Dennoch glaube ich, dass die zweite Version  kohärenter und somit leichter verständlich ist.;1;10;0;Staatsexamen;5/18/2015;5/18/2015;5/27/2015;5/27/2015;TLnfSP;0;0;1,5;1,75;1,5
wQIYYN;0;1;20;1,75;3;3;,5;,5;0;,0972222222222222;,0833333333333333;,111111111111111;,0833333333333333;,111111111111111;0;2;3;2;1;4;2;Das Feedback ist sehr unverständlich.;1;3;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;wQIYYN;1;1;2,25;1,75;2,25
AIShpA;2;1;22;2;1,5;1,5;,5;,5;0;,183333333333333;,111111111111111;,1;,222222222222222;,3;1;0;4;2;3;2;3;Verwendete Synonyme (z.B. Lehrender/ Erklärender) wurden nicht erkannt, sodass durch die Software zum Teil Kohärenzbrüche angezeigt werden, wo es eigentlich keine gibt.;0;4;0;Staatsexamen;5/13/2015;5/14/2015;6/1/2015;6/1/2015;AIShpA;1;0;2,5;1;2,5
AvfMnV;2;1;22;1,75;2;2;,5;,5;0;,263786764705882;,117647058823529;,375;,1875;,375;0;1;4;2;2;3;3; ;0;6;0;Staatsexamen;5/18/2015;5/19/2015;5/30/2015;5/30/2015;AvfMnV;1;0;2,5;1,25;2,5
BCdDaH;2;1;22;2,5;1,5;1,5;2;2;0;,193181818181818;,181818181818182;,25;,0909090909090909;,25;3;0;4;2;3;2;2;Ich würde es gut finden, wenn man zu einem zweiten Text ein Feedback anforden könnte.;0;4;0;Staatsexamen;5/17/2015;5/17/2015;6/1/2015;6/1/2015;BCdDaH;1;0;2,25;1,75;2,25
CwiaEj;0;1;22;2,25;1;1;2;1,5;0;,204545454545455;,0909090909090909;,272727272727273;,181818181818182;,272727272727273;0;0;4;2;4;3;4;"Meiner Meinung nach ist das Überarbeiten des Textes insofern recht schwer, dass die Anhaltspunkte fehlen, was erwartet wird (Wie viele Konzepte sollten in dem Text genannt werden?). Eine absolute Zahl hilft da wenig, wenn sie nicht in Relation gesetzt wird (z.B: ""In dem Text sind 20 Konzepte. Zu nennen sind mind. 15"")";0;4;0;Staatsexamen;5/12/2015;5/12/2015;5/29/2015;5/29/2015;CwiaEj;1;0;3,25;1,375;3,25
fGJFKB;0;1;22;2;2,5;2,5;1,5;1,5;0;,237215909090909;,272727272727273;,125;,363636363636364;,1875;1;0;4;2;2;3;3;Ein elektronisches System ist nicht in der Lage. einen gelungenen oder nicht gelungenen Erklärungstext zu identifizieren. Das Feedback konnte zwar auf fehlende Kohäsionen aufmerksam machen, die sich bei näherer Betrachtung im Text auch fanden. Dabei ist es aber nicht sicher, dass diese Kohäsionen den Text leichter verständlich machen oder nicht. Es war nicht immer ganz eindeutig, an welcher Stelle die fehlenden Konnektionen sein sollten.;0;6;0;Staatsexamen;5/14/2015;5/14/2015;5/28/2015;5/28/2015;fGJFKB;1;0;2,5;2;2,5
LMJRYt;1;1;22;3;1;1;2;2;0;,218772893772894;,0666666666666667;,357142857142857;,0666666666666667;,384615384615385;2;0;4;2;4;4;4;"Aus dem ""Bruchstückhaften"" Feedback wird nicht klar erkenntlich, was im Text gut ist, und was verbessert werden muss.";0;4;0;Staatsexamen;5/13/2015;5/18/2015;5/19/2015;5/20/2015;LMJRYt;2;0;3,5;1,5;3,5
oSqDfm;0;1;20;1,75;2;2;1,5;,5;0;,233919817927171;,0952380952380952;,3;,1875;,352941176470588;0;0;4;2;1;4;4;Das Feedback ist zu oberflächlich. Es gibt einem nur einen Überblick das etwas noch nicht ganz so gut ist, jedoch nicht wo man den Fehler gemacht hat. Vielleicht wäre es möglich, dass das Tool die Stellen markiert, wo sich die Koharenzbrüche befinden. Weil im Endeffekt weiß ich jetzt nicht, ob ich meine Erklärung an den richtigen Stellen korrigiert habe oder eben nicht.;0;4;0;Staatsexamen;5/14/2015;5/14/2015;6/1/2015;6/1/2015;oSqDfm;1;0;2,75;1,5;2,75
ajTYAS;0;1;20;2;1;1;1,5;2;0;,2;,125;,3;,125;,25;0;2;4;2;3;3;1; ;1;4;0;Staatsexamen;5/14/2015;5/14/2015;5/20/2015;5/20/2015;ajTYAS;1;0;2,25;1,375;2,25
bqkvYr;1;1;21;2;1,5;1,5;,5;,5;0;,116729323308271;,0526315789473684;,0714285714285714;,2;,142857142857143;0;2;4;2;3;3;2;Es war schwer erstmal zu verstehen, wie das Feedback aufgebaut ist und was mit die Aneinanderreihungen von Wörtern überhaupt sagen sollen. Es wäre deutlich sinnvoller die Verbindungen visuell darzustellen, z.B über eine mind map. Es überrascht mich auch, dass Sie das nicht gemacht haben, da bei diesem klarer gemacht werden könnte, wie die einzelnen Wörter untereinander verbunden sind (falls ein Computer das wirklich kann).;1;4;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;bqkvYr;2;1;2,5;1;2,5
CbXEjO;0;1;20;2;2;2;2;2;0;,123381311026435;,0526315789473684;,1875;,0769230769230769;,176470588235294;1;1;4;2;3;2;2;Für mich war das identifizieren des Feedbacks schwer, da das Feedback nur aus einer Zeile bestand und davon ein Stück am rechten Rand des Textfeldes, in dem das Feedback stand, abgeschnitten und somit nicht einsehbar war.;1;4;0;Staatsexamen;5/13/2015;5/13/2015;6/1/2015;6/1/2015;CbXEjO;1;0;2,25;2;2,25
ECIEQq;1;1;20;2,25;2,5;2;3,5;3,5;,5;,0607142857142857;,0714285714285714;,05;,0714285714285714;,05;2;3;4;2;3;2;2; ;1;4;0;Staatsexamen;5/14/2015;5/14/2015;6/1/2015;6/1/2015;ECIEQq;2;1;2,25;2,875;2,25
ePbAaC;1;1;22;2;3,5;3,5;1,5;1,5;0;,245075757575758;,181818181818182;,181818181818182;,2;,416666666666667;0;1;4;2;3;3;3; ;1;5;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;ePbAaC;1;0;2,75;2,5;2,75
EPlFGF;0;1;22;2,5;,5;,5;1;,5;0;,247443181818182;,2;,227272727272727;,25;,3125;2;1;4;2;3;3;3;Es wurde nicht angezeigt, wo sich genau der Bruch im Text befand.;1;4;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;EPlFGF;2;0;2,75;,625;2,75
erkUJD;1;1;21;2;1;,5;3,5;3;,5;,314705882352941;,0588235294117647;,5;,1;,6;0;0;4;2;3;3;2; ;1;4;0;Staatsexamen;5/17/2015;5/17/2015;6/1/2015;6/1/2015;erkUJD;1;0;2,5;2;2,5
FEexaw;1;1;21;2;1;1;,5;,5;0;,14375;,2;,0625;,25;,0625;2;2;4;2;1;3;2;"Das Feedback hilft sehr, Synonyme zu entdecken und diese ggf. durch gleiche Wörter zu ersetzen. Dadurch wird der Text einheitlicher. Ich habe nach dem Feedback meinen Text nochmal durchgelesen. Dabei ist mir aufgefallen, dass ich häufig lange Sätze verwende. Ich habe deshalb einige Kommata durch Punkte ersetzt und die Sätze somit kürzer und einfacher gemacht. Diese Funktion hat das elektronische Feedback allerdings nicht. Es beschränkt sich, soweit ich das verstanden habe, auf die Semantik einzelner Wörter. 2 Wörter, die mir als ""Zusammenhanglos"" angezeigt wurden, passen nicht in irgendein Konzept, sind mir aber wichtig, genannt zu werden, weshalb ich sie nicht korrigiert habe. Ich denke die Feedbackfunktion hilft vor allem, noch mal detailliert auf den Text zu schauen (v.a. sprachlich), letztlich korrigiert habe ich ihn allerdings mit dem Hintergrundwissen aus der Vorlesung und weniger aus den Angaben der Feedbackfunktion. Diese konnte ich eher schwer umsetzen (vielleicht müsste man das auch erst lernen).";1;4;0;Staatsexamen;5/17/2015;5/17/2015;5/25/2015;5/25/2015;FEexaw;1;0;2;,75;2
ijaBKg;2;1;21;2,25;1,5;1,5;2;1,5;0;,134469696969697;,0833333333333333;,181818181818182;,0909090909090909;,181818181818182;0;0;4;2;4;3;3;Ich finde die Idee einer Concept Map grundsätzlich sehr gut. In diesem Fall allerdings nicht, da mir nicht ganz klar war, worin mein Entwurf brüchig war und wo er verbessert werden könnte. Er spiegelte eher meine Beschreibung wieder, als dass er auf Probleme hinwieß.;1;4;0;Staatsexamen;5/18/2015;5/19/2015;5/29/2015;5/29/2015;ijaBKg;0;0;3;1,625;3
JGIvVu;0;1;22;2,25;2,5;2,5;2;2;0;,236263736263736;,230769230769231;,166666666666667;,214285714285714;,333333333333333;1;1;4;2;3;3;3;Ein genauerer Hinweis auf die Brüche im Text hätte die überarbeiten deutlich einfacher gemacht.;1;4;0;Staatsexamen;5/17/2015;5/19/2015;6/1/2015;6/1/2015;JGIvVu;1;0;2,75;2,25;2,75
jhgwzh;0;1;21;2,25;2;2;2;2;0;,258333333333333;,1;,416666666666667;,1;,416666666666667;1;0;4;2;3;3;2; ;1;4;0;Staatsexamen;5/15/2015;5/15/2015;5/21/2015;5/21/2015;jhgwzh;1;0;2,5;2;2,5
lqPdSk;1;1;24;2;,5;,5;1,5;1,5;0;,145833333333333;,125;,111111111111111;,125;,222222222222222;1;1;4;2;3;2;2; ;1;10;0;Staatsexamen;5/18/2015;5/18/2015;6/2/2015;6/2/2015;lqPdSk;1;0;2,25;1;2,25
oWHmgp;0;1;21;2,25;2,5;2,5;2,5;2,5;0;,374183006535948;,277777777777778;,470588235294118;,277777777777778;,470588235294118;0;0;4;2;4;3;3; ;1;4;0;Staatsexamen;5/15/2015;5/15/2015;5/28/2015;5/28/2015;oWHmgp;1;0;3;2,5;3
rxhrRZ;1;1;21;1,25;2;1,5;2,5;2,5;,5;,180555555555556;,111111111111111;,25;,111111111111111;,25;0;1;4;2;1;2;3; ;1;4;0;Staatsexamen;5/18/2015;5/18/2015;5/31/2015;5/31/2015;rxhrRZ;2;1;2;2,125;2
tPBSbP;1;1;20;2;1;1;1,5;1,5;0;,518939393939394;,5;,454545454545455;,666666666666667;,454545454545455;0;1;4;2;3;3;3;Ich konnte nicht wirklich identifizieren, welche Inhalte meiner Erklärung nicht korrekt waren, beziehungsweise konnte nicht nachvollziehen, wie das Ganze gegliedert war, und was sich worauf bezogen hat.;1;4;0;Staatsexamen;5/17/2015;5/17/2015;5/20/2015;5/20/2015;tPBSbP;2;1;2,75;1,25;2,75
xGxzKP;1;1;21;1,5;2;2;2;1,5;0;,248376623376623;,181818181818182;,142857142857143;,454545454545455;,214285714285714;0;1;4;2;2;2;2;"Es werden auch bestimmte Wörter aufgegriffen die zu Redewendungen gehören (so beispielsweise bei ""etwas im Kopf haben"" das Wort ""Kopf""). Dies ist für die Überarbeitung erstmal sehr irritierend.";1;4;0;Staatsexamen;5/13/2015;5/13/2015;5/28/2015;5/28/2015;xGxzKP;1;0;2;1,875;2
XoQWrB;0;1;21;2;2,5;2,5;2;2;0;,0982142857142857;,0714285714285714;,125;,0714285714285714;,125;1;1;4;2;2;3;2; ;1;4;0;Staatsexamen;5/17/2015;5/17/2015;6/1/2015;6/1/2015;XoQWrB;1;0;2,25;2,25;2,25
zJtCsC;2;1;36;2;2;1,5;1,5;1;,5;,139285714285714;,1;,214285714285714;,1;,142857142857143;1;4;5;2;2;3;3;Durch das Schaubild war ich mir nicht sicher ab wann es zu einem inhaltlichen Bruch, welcher überarbeitet werden musste gekommen ist. Die Frage die ich mir gestellt habe war, ob bei fehlender Kohäsion ein Punkt dann alleine aufgezeigt ist, oder ob es einer gewissen Anzahl an Verbindungen bedarf, die eine Überarbeitungen erforderlich machen oder nicht. Also z.B. pro Punkt 3 Verbindungen plus sind gut und alles darunter bedarf einer Neugestaltung des Textes.Ich wollte nicht mehr zurückklicken und hoffe ich habe dies in einem entsprechenden Hinweis nicht überlesen.;0;14;1;Staatsexamen;5/13/2015;5/13/2015;6/1/2015;6/1/2015;zJtCsC;2;0;2,5;1,5;2,5
zokwsD;1;1;27;1,5;1,5;1,5;1,5;1;0;,112103174603175;,142857142857143;,111111111111111;,0833333333333333;,111111111111111;0;0;5;2;2;2;2;Wie kann ein nicht denkender Computer Brüche in Argumentationsgängen feststellen? Das Feedback orientiert sich an verbalen Oberflächlichkeiten.;0;11;1;Staatsexamen;5/15/2015;5/15/2015;5/31/2015;5/31/2015;zokwsD;1;0;2;1,375;2
XamsqO;0;1;21;2,5;1;1;1,5;1,5;0;,266666666666667;,2;,333333333333333;,2;,333333333333333;1;1;5;2;3;4;3;Das Feedback ist schrecklich unspezifisch und es erklärt nicht, was es eigentlich kritisiert. D.h. man kann sich eventuell verbessern, wenn man zufällig das verbessert, was das Programm angekreidet hat. Oder man versteht das Programm falsch und verbessert etwas ganz anderes. Ich halte das für nicht sonderlich effektiv.;1;6;0;Staatsexamen;5/16/2015;5/16/2015;5/24/2015;5/24/2015;XamsqO;2;1;3;1,25;3
gfdmHL;0;1;22;3;,5;,5;2,5;2,5;0;,25;,333333333333333;,125;,416666666666667;,125;2;2;6;2;4;4;4;Die Software schien bei mir eine Vielzahl von Konzepten auszumachen, die die übersichtliche Darstellung der Konzepte und Kohärenzbrüche wie sie bei Kommilitonen von mir zustande kam unmöglich machte. Daher stand ich nur vor den Zahlen der 48 Konzepte und 5 Kohärenzbrüche. Da ich den Zahlen wenig Glauben schenke (48 Konzepte ist für Knapp 300 Wörter irgendwie schwer zu glauben), war das Feedback für mich überhaupt nicht hilfreich.;0;6;1;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;gfdmHL;2;0;3,5;1,5;3,5
LUgVqg;0;1;28;2,5;2,5;1,5;,5;,5;1;,153869047619048;,133333333333333;,0625;,357142857142857;,0625;2;3;6;2;3;3;3;Die Software hat die Anzahl der Konzepte und Kohärenzbrüche genannt. Wie meist, ist es so, dass man Fehler gerne übersieht, wenn man nicht direkt darauf hingewiesen wird, daher kann ich nicht wirklich bestätigen, dass die Überarbeitung viel Lerneffekt für mich hatte. Auch die positiven Aspekte, also die Konzepte wären interessant zu erfahren gewesen, da man manchmal Konzepte anschneidet ohne dies selbst zu erkennen.;0;15;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/3/2015;LUgVqg;1;0;2,75;1,25;2,75
mieqFl;0;1;22;2;1,5;1,5;,5;,5;0;,166666666666667;,166666666666667;,0833333333333333;,333333333333333;,0833333333333333;0;1;6;2;3;3;3;"Die Rückmeldung ist leider zu unspezifisch, aus der bloßen Nennung einer Anzahl an sogenannten ""Kohärenzbrüchen"" ist nicht auf die offensichtlich ""falsche Stelle"" zu schließen.";0;6;1;Staatsexamen;5/14/2015;5/14/2015;5/29/2015;5/29/2015;mieqFl;2;0;2,75;1;2,75
rZIWoq;1;1;21;2;3,5;3,5;,5;,5;0;,266025641025641;,166666666666667;,333333333333333;,230769230769231;,333333333333333;0;2;6;2;4;2;2;Bei einer solch geringen Wortanzahl eine wissenschaftlich-niveauvolle Erklärung zu schreiben, ohne Kohärenzbrüche ist für mich schwierig, wenn nicht gar unmöglich.;0;6;1;Staatsexamen;5/16/2015;5/16/2015;5/25/2015;5/25/2015;rZIWoq;2;0;2,5;2;2,5
tLNZHu;0;1;24;2;2;1,5;,5;,5;,5;,161616161616162;,0909090909090909;,111111111111111;,222222222222222;,222222222222222;0;0;6;2;3;3;3;Es ist deshalb etwas schwer, weil man sich nicht sicher ist, nach welchem Prinzip der Text ausgewertet wird. Sind Kohärenzbrüche schon durch kleine grammatikalische Fehler wie die Kommasetzung gegeben, oder sucht das Programm nur nach dem Auftauchen und in Bezug setzen verschiedener Worte?  Es war auch nicht besonders leicht die 18 Konzepte in den 9 Sätzen ausfindig zu machen und es stellt sich die Frage in mir ob einfach jeder Teilsatz schon ein Konzept darstellt. Aber es ist ein sehr interessantes Programm und eine gute Idee!;0;8;0;Staatsexamen;5/17/2015;5/17/2015;5/31/2015;5/31/2015;tLNZHu;0;0;2,75;1,125;2,75
ZLFLDV;2;1;22;1,5;1,5;1,5;1,5;1,5;0;,245833333333333;,25;,2;,333333333333333;,2;0;1;6;2;1;3;1;"Brüche im Text zu identifizieren war für mich im Nachhinein kein Problem; zwischen wichtigen und unwichtigen Worte zu unterscheiden für die Software offenbar schon.";0;6;0;Staatsexamen;5/18/2015;5/18/2015;6/1/2015;6/1/2015;ZLFLDV;1;0;1,75;1,5;1,75
dykMBa;0;1;22;2;1;1;,5;,5;0;,258566433566434;,230769230769231;,230769230769231;,3;,272727272727273;0;1;6;2;3;3;3;-Kohärenzbrüche sind nicht markiert, müssen also selbst identifiziert werden.-da das Feedback maschinell erstellt wird, werden vermutlich auch Kohärenzbrüche identifiziert, die vom Leser nicht als Kohärenzbrüche wahrgenommen werden.-es wird angezeigt, wie;1;6;0;Staatsexamen;5/17/2015;5/17/2015;5/31/2015;5/31/2015;dykMBa;1;0;2,75;,75;2,75
fFZBVK;2;1;23;1,75;1;1;2,5;1,5;0;,139204545454545;,125;,0909090909090909;,25;,0909090909090909;1;2;6;2;2;2;1; ;1;6;1;Staatsexamen;5/14/2015;5/16/2015;5/23/2015;5/23/2015;fFZBVK;2;0;1,75;1,5;1,75
LIeBgf;2;1;23;2,25;3;3;,5;,5;0;,390151515151515;,333333333333333;,363636363636364;,5;,363636363636364;1;0;6;2;3;3;3;Die Darstellung im Schaubild macht das Feedback zwar übersichtlich und stellt Zusammenhänge zwischen verschiendenen Wörtern / Wortgruppen/ Wortfeldern her, jedoch finde ich es schwierig damit zu arbeiten, da man keine genaue Rückmeldung darüber erhält wie und wo genau man in seiner Erklärung Fehler oder problematische Kohärenzbrüche hat.;1;6;1;Staatsexamen;5/18/2015;5/18/2015;5/22/2015;5/22/2015;LIeBgf;2;0;2,75;1,75;2,75
qAVJTX;2;1;23;1,25;3,5;3,5;,5;,5;0;,21875;,25;,0625;,5;,0625;0;3;6;2;1;2;1; ;1;6;1;Staatsexamen;5/17/2015;5/17/2015;5/30/2015;5/30/2015;qAVJTX;2;0;1,5;2;1,5
